1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Nova Group || Industry (ANZSIC4) code: 6923 || Industry (ANZSIC4) description: Engineering Design and Engineering Consulting Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Arkibar Cucina || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Burra Foods || Industry (ANZSIC4) code: 1131 || Industry (ANZSIC4) description: Milk and Cream Processing || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110449 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Capital Property Marketing || Industry (ANZSIC4) code: 6720 || Industry (ANZSIC4) description: Real Estate Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Transcend Health & Fitness || Industry (ANZSIC4) code: 9111 || Industry (ANZSIC4) description: Health and Fitness Centres and Gymnasia Operation || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Johnson Controls Australia || Industry (ANZSIC4) code: 3234 || Industry (ANZSIC4) description: Fire and Security Alarm Installation Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Estee Lauder || Industry (ANZSIC4) code: 4271 || Industry (ANZSIC4) description: Pharmaceutical, Cosmetic and Toiletry Goods Retailing || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Asian Pacific Group Pty Ltd || Industry (ANZSIC4) code: 3020 || Industry (ANZSIC4) description: Non-Residential Building Construction || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110439 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Terumo Australia Pty Limited || Industry (ANZSIC4) code: 3491 || Industry (ANZSIC4) description: Professional and Scientific Goods Wholesaling || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110438 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Wipro Australia Pty Ltd || Industry (ANZSIC4) code: 5801 || Industry (ANZSIC4) description: Wired Telecommunications Network Operation || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110449 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
1644.963089 -8932.348234 --> Census year: 2018 || Block ID: 746 || Property ID: 110448 || Base property ID: 110437 || CLUE small area: Southbank || Trading name: Exponential || Industry (ANZSIC4) code: 6940 || Industry (ANZSIC4) description: Advertising Services || x coordinate: 144.966274 || y coordinate: -37.83069486 || Location: (-37.83069486, 144.966274) || 
